iter	Passed	Remaining
429	1755	2326
430	1760	2323
431	1762	2317
432	1765	2312
433	1769	2307
434	1772	2301
435	1773	2294
436	1775	2287
437	1778	2282
438	1780	2274
439	1787	2274
440	1791	2270
441	1793	2263
442	1795	2257
443	1796	2249
444	1799	2244
445	1804	2241
446	1806	2235
447	1809	2229
448	1814	2226
449	1817	2221
450	1820	2216
451	1822	2209
452	1826	2205
453	1829	2199
454	1831	2194
455	1834	2188
456	1837	2182
457	1840	2177
458	1842	2172
459	1845	2166
460	1858	2173
461	1861	2167
462	1863	2161
463	1865	2155
464	1882	2165
465	1886	2161
466	1891	2159
467	1894	2153
468	1897	2148
469	1899	2142
470	1901	2135
471	1903	2129
472	1909	2127
473	1912	2122
474	1914	2116
475	1931	2125
476	1934	2121
477	1938	2117
478	1941	2111
479	1943	2105
480	1946	2099
481	1949	2094
482	1952	2089
483	1954	2083
484	1956	2076
485	1958	2071
486	1960	2065
487	1963	2060
488	1965	2053
489	1967	2048
490	1972	2044
491	1977	2041
492	1983	2039
493	1989	2038
494	1997	2037
495	2001	2033
496	2007	2031
497	2013	2029
498	2019	2027
499	2025	2025
500	2031	2023
501	2037	2021
502	2044	2019
503	2051	2018
504	2054	2013
505	2059	2010
506	2065	2008
507	2074	2009
508	2077	2004
509	2085	2003
510	2089	1999
511	2095	1997
512	2100	1993
513	2107	1992
514	2111	1988
515	2118	1987
516	2122	1982
517	2131	1983
518	2137	1981
519	2139	1975
520	2142	1970
521	2144	1964
522	2152	1962
523	2159	1961
524	2167	1960
525	2170	1956
526	2177	1954
527	2182	1950
528	2187	1948
529	2194	1945
530	2198	1942
531	2203	1938
532	2209	1935
533	2215	1933
534	2222	1931
535	2226	1927
536	2232	1924
537	2237	1921
538	2242	1917
539	2248	1915
540	2254	1912
541	2258	1908
542	2262	1903
543	2266	1899
544	2269	1894
545	2274	1890
546	2278	1887
547	2282	1882
548	2286	1877
549	2290	1874
550	2295	1870
551	2300	1867
552	2305	1863
553	2311	1860
554	2316	1857
555	2322	1854
556	2325	1849
557	2328	1844
558	2333	1841
559	2342	1840
560	2356	1843
561	2359	1839
562	2365	1836
563	2370	1832
564	2373	1827
565	2380	1825
566	2386	1822
567	2391	1819
568	2398	1816
569	2404	1813
570	2410	1811
571	2416	1808
572	2418	1802
573	2423	1798
574	2429	1795
575	2435	1793
576	2440	1789
577	2446	1786
578	2454	1784
579	2458	1780
580	2465	1778
581	2472	1776
582	2476	1771
583	2482	1768
584	2488	1765
585	2495	1762
586	2500	1759
587	2506	1756
588	2509	1751
589	2512	1746
590	2517	1742
591	2522	1738
592	2532	1737
593	2541	1736
594	2544	1732
595	2550	1729
596	2555	1725
597	2558	1719
598	2562	1715
599	2570	1713
600	2577	1711
601	2581	1706
602	2585	1702
603	2592	1699
604	2594	1693
605	2598	1689
606	2603	1685
607	2608	1681
608	2613	1677
609	2618	1673
610	2622	1669
611	2626	1665
612	2632	1662
613	2639	1659
614	2646	1656
615	2649	1651
616	2656	1648
617	2660	1644
618	2664	1639
619	2669	1636
620	2675	1633
621	2681	1629
622	2688	1626
623	2694	1623
624	2697	1618
625	2702	1614
626	2707	1610
627	2710	1605
628	2714	1600
629	2723	1599
630	2731	1597
631	2735	1592
632	2740	1589
633	2746	1585
634	2752	1581
635	2758	1578
636	2764	1575
637	2769	1571
638	2775	1568
639	2780	1563
640	2783	1559
641	2790	1556
642	2793	1550
643	2798	1546
644	2804	1543
645	2808	1539
646	2813	1535
647	2820	1532
648	2822	1526
649	2827	1522
650	2833	1519
651	2839	1515
652	2844	1511
653	2850	1508
654	2866	1509
655	2878	1509
656	2883	1505
657	2893	1504
658	2897	1499
659	2907	1497
660	2916	1495
661	2919	1490
662	2927	1487
663	2931	1483
664	2936	1479
665	2940	1474
666	2943	1469
667	2946	1464
668	2950	1459
669	2955	1455
670	2958	1450
671	2963	1446
672	2968	1442
673	2974	1438
674	2977	1433
675	2982	1429
676	2989	1426
677	2992	1421
678	2995	1416
679	2999	1411
680	3002	1406
681	3005	1401
682	3008	1396
683	3014	1392
684	3018	1388
685	3026	1385
686	3030	1380
687	3037	1377
688	3042	1373
689	3048	1369
690	3054	1365
691	3061	1362
692	3067	1358
693	3074	1355
694	3083	1353
695	3085	1347
696	3089	1343
697	3095	1339
698	3097	1333
699	3102	1329
700	3106	1324
701	3110	1320
702	3113	1315
703	3116	1310
704	3123	1307
705	3131	1304
706	3135	1299
707	3138	1294
708	3141	1289
709	3143	1283
710	3149	1280
711	3152	1275
712	3154	1269
713	3161	1266
