iter	MultiClass
0	1.232970355
1	1.120010165
2	1.030770943
3	0.9557788349
4	0.8948983704
5	0.8406369846
6	0.7893999301
7	0.7472535985
8	0.714025248
9	0.6760853085
10	0.6438722762
11	0.6155666858
12	0.5915270655
13	0.5721009292
14	0.5493808294
15	0.5323672399
16	0.5168351956
17	0.5012804902
18	0.4846536989
19	0.4691776103
20	0.45798517
21	0.4457710337
22	0.4336672132
23	0.4220977996
24	0.4131839958
25	0.405022623
26	0.3955959432
27	0.3871724095
28	0.3802170318
29	0.3723005587
30	0.3662087951
31	0.3591047598
32	0.3510306965
33	0.346374605
34	0.340537517
35	0.3356032992
36	0.3302948292
37	0.3240926339
38	0.3188054429
39	0.3142159952
40	0.3095360381
41	0.3045430515
42	0.3009921186
43	0.2967034419
44	0.2919707109
45	0.2878698003
46	0.2843836227
47	0.2803544504
48	0.2771126248
49	0.2737056198
50	0.2705183563
51	0.2674531855
52	0.2641286805
53	0.2612125828
54	0.258204427
55	0.2554716962
56	0.2523644523
57	0.2495536612
58	0.2462539269
59	0.2435223578
60	0.2414146666
61	0.238936328
62	0.2352316354
63	0.2330786394
64	0.2313110474
65	0.22919556
66	0.226556
67	0.2245092424
68	0.2218793855
69	0.2198786444
70	0.2181670907
71	0.2163599375
72	0.2146671634
73	0.2127633415
74	0.2110436657
75	0.2098537527
76	0.2081578238
77	0.2064821899
78	0.2050313848
79	0.2036894661
80	0.201520409
81	0.2000209846
82	0.1984488922
83	0.1966698095
84	0.1948166827
85	0.1932155229
86	0.1921515508
87	0.1908630879
88	0.1891116342
89	0.1878133276
90	0.1865838849
91	0.1854452853
92	0.1842964862
93	0.1831808764
94	0.1818428363
95	0.1806681481
96	0.1795108071
97	0.1784126925
98	0.1772208111
99	0.1761607851
100	0.1754026793
101	0.1744170088
102	0.1732781383
103	0.1717983459
104	0.1708517719
105	0.1693703432
106	0.1683682073
107	0.1670546005
108	0.1664486711
109	0.1650213468
110	0.164322142
111	0.1633877378
112	0.1628102434
113	0.1618657053
114	0.16104923
115	0.1599985598
116	0.1589066023
117	0.1581102653
118	0.1568821169
119	0.1561454897
120	0.1550094803
121	0.1542614907
122	0.1536376321
123	0.1526222771
124	0.1520510871
125	0.151339518
126	0.150515101
127	0.1500184328
128	0.1491055066
129	0.1485252515
130	0.1475714225
131	0.1465752308
132	0.145938199
133	0.1446885218
134	0.1439192381
135	0.1432857843
136	0.1429165364
137	0.1423975611
138	0.1416720071
139	0.1410014251
140	0.1400569883
141	0.1394239549
142	0.1390836778
143	0.1387308846
144	0.1383836438
145	0.137976308
146	0.1373554317
147	0.1368997256
148	0.1358541869
149	0.1350102714
150	0.1346400547
151	0.1342031838
152	0.1334700065
153	0.1330828327
154	0.1324249248
155	0.1319511973
156	0.131105349
157	0.1303962259
158	0.1300283777
159	0.1294384974
160	0.1290927854
161	0.1282333259
162	0.1276568908
163	0.1270451608
164	0.1267522261
165	0.1263746765
166	0.1259007596
167	0.1253846916
168	0.1248663079
169	0.124452875
170	0.1241555655
171	0.1238708303
172	0.1236979442
173	0.123237984
174	0.1226606467
175	0.122160585
176	0.1216716412
177	0.1209623558
178	0.1208102979
179	0.1204050115
180	0.1199890603
181	0.1195262528
182	0.1187683384
183	0.1182070483
184	0.1178632729
185	0.1174913334
186	0.1171931889
187	0.1168199174
188	0.1164726679
189	0.1158829722
190	0.1156074299
191	0.1152286004
192	0.1148240049
193	0.1143743203
194	0.1142536894
195	0.1137549789
196	0.1133274601
197	0.1130242938
198	0.1127014349
199	0.1123942019
200	0.1121426117
201	0.1119301583
202	0.1116470834
203	0.1111199706
204	0.110787713
205	0.1105419788
206	0.1102869263
207	0.1099453928
208	0.1094751381
209	0.1090864469
210	0.1087010383
211	0.1082314385
212	0.1079306494
213	0.10752255
214	0.1070397166
215	0.1065421389
216	0.1064331175
217	0.1061062965
218	0.1058747058
219	0.1056386851
220	0.1055720554
221	0.1052828321
222	0.1050260771
223	0.1046926715
224	0.1041914817
225	0.1039072394
226	0.1035188387
227	0.1032940158
228	0.1031151273
229	0.1027724091
230	0.1023870877
231	0.1020134084
232	0.1016975278
233	0.1016124571
234	0.1013761151
235	0.1011505882
236	0.1009269122
237	0.1007858298
238	0.1006065767
239	0.1002277333
240	0.1000952882
241	0.09979029596
242	0.0995424431
243	0.09948924643
244	0.09917479767
245	0.09889454949
246	0.0985520998
247	0.09844802359
248	0.0980693246
249	0.09791668764
250	0.0975334084
251	0.0973719598
252	0.09722108942
253	0.09689527443
254	0.09648139184
255	0.0963026132
256	0.09595588142
257	0.09580085954
258	0.09555522437
259	0.09525560805
260	0.0950302428
261	0.09498274138
262	0.09460545818
263	0.09433686313
264	0.09402307175
265	0.09389588623
266	0.09365280968
267	0.09345702146
268	0.09332959448
269	0.09304193445
270	0.09277367399
271	0.09272679037
272	0.09246770591
273	0.09240327563
274	0.09227528167
275	0.09213598081
276	0.09207511892
277	0.09188683793
278	0.09166012869
279	0.09144511585
280	0.09127775405
281	0.09107730502
282	0.09101926123
283	0.09087905491
284	0.09055425988
285	0.0904461821
286	0.09026935605
287	0.09011723497
288	0.08991838219
289	0.0898102017
290	0.08944962093
291	0.0892850693
292	0.089102984
293	0.089007644
294	0.08883278025
295	0.08872558745
296	0.08837590145
297	0.08830955035
298	0.08823914438
299	0.08804112712
300	0.08786582434
301	0.08762057776
302	0.08738325248
303	0.08733156408
304	0.08719503341
305	0.08704208367
306	0.08694534932
307	0.086783565
308	0.08647679406
309	0.08633334116
310	0.08626735382
311	0.08613612031
312	0.08589378006
313	0.08571221521
314	0.08554779553
315	0.08544149269
316	0.08524086373
317	0.08502004068
318	0.08499035641
319	0.08481726495
320	0.08457361183
321	0.08442712221
322	0.08414946737
323	0.08406443052
324	0.08393026456
325	0.08376747625
326	0.08371724788
327	0.08353443916
328	0.08340016176
329	0.08324559645
330	0.08315813544
331	0.08304946626
332	0.08286778775
333	0.08280751584
334	0.08274173337
335	0.08264860707
336	0.08243008581
337	0.0822241417
338	0.0821288212
339	0.08205068792
340	0.08181346852
341	0.08176300363
342	0.08171542382
343	0.08161144182
344	0.08137220967
345	0.08129768709
346	0.0811428217
347	0.08110664898
348	0.08105843668
349	0.08095730778
350	0.08091438055
351	0.08067188325
352	0.08034764207
353	0.08032799637
354	0.08027438822
355	0.08006259493
356	0.07982704815
357	0.07967863209
358	0.07963307026
359	0.07933503761
360	0.07914006997
361	0.07902796909
362	0.07882834933
363	0.07869875401
364	0.07845154501
365	0.0781813376
366	0.07814089761
367	0.0780085762
368	0.07777578318
369	0.07760393912
370	0.07749206651
371	0.07728828705
372	0.07714180331
373	0.07710471945
374	0.07700212999
375	0.07694250532
376	0.07684284819
377	0.07666903774
378	0.07647452469
379	0.07633935108
380	0.07610722945
381	0.07602266253
382	0.07597407847
383	0.07591949396
384	0.07579913918
385	0.07570023512
386	0.0756623285
387	0.07558285587
388	0.07545019996
389	0.07541896871
390	0.07539227858
391	0.07537310989
392	0.07534052846
393	0.07527932676
394	0.07511021791
395	0.07492652487
396	0.0747944835
397	0.07468813576
398	0.07459127403
399	0.07447661121
400	0.07434737487
401	0.07418090223
402	0.07397029647
403	0.07379540065
404	0.07355240497
405	0.07341335872
406	0.07327581059
407	0.07307349821
408	0.07302417047
409	0.07288301062
410	0.07276570367
411	0.07274938314
412	0.07265820127
413	0.07254087303
414	0.07249040758
415	0.07234693732
416	0.07223631135
417	0.07220434761
418	0.07205314584
419	0.07192204317
420	0.0716926552
421	0.07164930788
422	0.07149378835
423	0.07142822698
424	0.07129258922
425	0.07122259098
426	0.07116369967
427	0.07100216653
428	0.07086646583
429	0.07072584235
430	0.07050232131
431	0.07043825679
432	0.07031384926
433	0.0701046686
434	0.07005194656
435	0.0700131492
436	0.06994661434
437	0.06977875467
438	0.06966991723
439	0.06960250354
440	0.06952944931
441	0.06935967338
442	0.06924495333
443	0.06919793974
444	0.06916086774
445	0.06904877508
446	0.0689999445
447	0.068943612
448	0.06877098879
449	0.06869859628
450	0.06856814573
451	0.06846767015
452	0.06829780787
453	0.06825153849
454	0.06817992515
455	0.06815035258
456	0.06803161958
457	0.06789383609
458	0.06779685932
459	0.06767335672
460	0.0675599012
461	0.06749823782
462	0.06738120823
463	0.06724950541
464	0.06718308181
465	0.06707397422
466	0.06685761267
467	0.06680834728
468	0.06659181762
469	0.06656435402
470	0.06647891678
471	0.06637865326
472	0.06636624865
473	0.06634747823
474	0.06621335119
475	0.06617125102
476	0.06605677858
477	0.06590042442
478	0.06575896103
479	0.06574644736
480	0.06570351734
481	0.06556473181
482	0.06554588278
483	0.06541309805
484	0.06532813122
485	0.06530135174
486	0.06523861398
487	0.06521445577
488	0.06510639487
489	0.06499998874
490	0.0649611108
491	0.06493225519
492	0.06489300038
493	0.06483442306
494	0.06476833099
495	0.06467120027
496	0.06457560641
497	0.06446317466
498	0.0643128865
499	0.06414939136
500	0.06407240875
501	0.06399791951
502	0.06392487331
503	0.06389147854
504	0.06383338203
505	0.06374970513
506	0.06361010178
507	0.06343675438
508	0.06339627815
509	0.06330012205
510	0.06326488643
511	0.06319913845
512	0.06317316838
513	0.06313691653
514	0.06303730905
515	0.06294889028
516	0.06288902433
517	0.0628488124
518	0.06280525545
519	0.06258906758
520	0.0625233359
521	0.06235958695
522	0.06223445784
523	0.06220859285
524	0.06216837244
525	0.06208764194
526	0.06196317506
527	0.06187299213
528	0.0618107885
529	0.06178627878
530	0.06177130997
531	0.061722938
532	0.06160160424
533	0.06151120161
534	0.06143600958
535	0.06129474197
536	0.06122225511
537	0.06116277203
538	0.0610983052
539	0.06107547545
540	0.06097903933
